age,job,marital,education,default,balance,housing,loan,contact,day,quarter,duration,campaign,pdays,previous,poutcome,y
58,independent,married,tertiary,0,-364,1,0,unknown,5,second,355,1,-1,0,unknown,0
44,workforce,married,secondary,0,0,1,0,unknown,5,second,225,2,-1,0,unknown,0
55,workforce,divorced,secondary,0,0,0,0,unknown,5,second,160,1,-1,0,unknown,0
29,manager,single,tertiary,0,0,1,0,unknown,5,second,363,1,-1,0,unknown,0
54,workforce,married,secondary,0,1291,1,0,unknown,5,second,266,1,-1,0,unknown,0
48,manager,divorced,tertiary,0,-244,1,0,unknown,5,second,253,1,-1,0,unknown,0
32,manager,married,tertiary,0,0,1,0,unknown,5,second,179,1,-1,0,unknown,0
42,manager,single,secondary,0,-76,1,0,unknown,5,second,787,1,-1,0,unknown,0
24,workforce,single,secondary,0,-103,1,1,unknown,5,second,145,1,-1,0,unknown,0
38,independent,single,tertiary,0,243,0,1,unknown,5,second,174,1,-1,0,unknown,0
38,manager,single,tertiary,0,424,1,0,unknown,5,second,104,1,-1,0,unknown,0
47,workforce,married,unknown,0,306,1,0,unknown,5,second,13,1,-1,0,unknown,0
40,workforce,single,unknown,0,24,1,0,unknown,5,second,185,1,-1,0,unknown,0
46,workforce,married,primary,0,179,1,0,unknown,5,second,1778,1,-1,0,unknown,0
32,manager,married,tertiary,0,0,1,0,unknown,5,second,138,1,-1,0,unknown,0
53,workforce,divorced,secondary,0,989,1,0,unknown,5,second,812,1,-1,0,unknown,0
57,workforce,married,primary,0,249,1,0,unknown,5,second,164,1,-1,0,unknown,0
33,workforce,married,secondary,0,790,1,0,unknown,5,second,391,1,-1,0,unknown,0
49,workforce,married,unknown,0,154,1,0,unknown,5,second,357,1,-1,0,unknown,0
51,manager,married,tertiary,0,6530,1,0,unknown,5,second,91,1,-1,0,unknown,0
60,nonworker,married,tertiary,0,100,0,0,unknown,5,second,528,1,-1,0,unknown,0
59,manager,divorced,tertiary,0,59,1,0,unknown,5,second,273,1,-1,0,unknown,0
55,workforce,married,secondary,0,1205,1,0,unknown,5,second,158,2,-1,0,unknown,0
35,workforce,single,secondary,0,12223,1,1,unknown,5,second,177,1,-1,0,unknown,0
57,workforce,married,secondary,0,5935,1,1,unknown,5,second,258,1,-1,0,unknown,0
31,workforce,married,secondary,0,25,1,1,unknown,5,second,172,1,-1,0,unknown,0
54,manager,married,secondary,0,282,1,1,unknown,5,second,154,1,-1,0,unknown,0
55,workforce,married,primary,0,23,1,0,unknown,5,second,291,1,-1,0,unknown,0
43,workforce,married,secondary,0,1937,1,0,unknown,5,second,181,1,-1,0,unknown,0
53,workforce,married,secondary,0,384,1,0,unknown,5,second,176,1,-1,0,unknown,0
44,workforce,married,secondary,0,582,0,1,unknown,5,second,211,1,-1,0,unknown,0
55,workforce,divorced,secondary,0,91,0,0,unknown,5,second,349,1,-1,0,unknown,0
49,workforce,divorced,secondary,0,0,1,1,unknown,5,second,272,1,-1,0,unknown,0
55,workforce,divorced,secondary,1,1,1,0,unknown,5,second,208,1,-1,0,unknown,0
45,manager,single,secondary,0,206,1,0,unknown,5,second,193,1,-1,0,unknown,0
47,workforce,divorced,secondary,0,164,0,0,unknown,5,second,212,1,-1,0,unknown,0
42,workforce,single,secondary,0,690,1,0,unknown,5,second,20,1,-1,0,unknown,0
59,manager,married,secondary,0,2343,1,0,unknown,5,second,1042,1,-1,0,unknown,1
46,independent,married,tertiary,0,137,1,1,unknown,5,second,246,1,-1,0,unknown,0
51,workforce,married,primary,0,173,1,0,unknown,5,second,529,2,-1,0,unknown,0
56,manager,married,secondary,0,45,0,0,unknown,5,second,1467,1,-1,0,unknown,1
41,workforce,married,secondary,0,1270,1,0,unknown,5,second,1389,1,-1,0,unknown,1
46,manager,divorced,secondary,0,16,1,1,unknown,5,second,188,2,-1,0,unknown,0
57,nonworker,married,secondary,0,486,1,0,unknown,5,second,180,2,-1,0,unknown,0
42,manager,single,secondary,0,50,0,0,unknown,5,second,48,1,-1,0,unknown,0
30,workforce,married,secondary,0,152,1,1,unknown,5,second,213,2,-1,0,unknown,0
60,manager,married,secondary,0,290,1,0,unknown,5,second,583,1,-1,0,unknown,0
60,workforce,married,unknown,0,54,1,0,unknown,5,second,221,1,-1,0,unknown,0
57,independent,divorced,secondary,0,-37,0,0,unknown,5,second,173,1,-1,0,unknown,0
36,manager,married,tertiary,0,101,1,1,unknown,5,second,426,1,-1,0,unknown,0
55,workforce,married,secondary,0,383,0,0,unknown,5,second,287,1,-1,0,unknown,0
60,nonworker,married,tertiary,0,81,1,0,unknown,5,second,101,1,-1,0,unknown,0
39,workforce,married,secondary,0,0,1,0,unknown,5,second,203,1,-1,0,unknown,0
46,manager,married,tertiary,0,229,1,0,unknown,5,second,197,1,-1,0,unknown,0
44,workforce,married,secondary,0,-674,1,0,unknown,5,second,257,1,-1,0,unknown,0
53,workforce,married,primary,0,90,0,0,unknown,5,second,124,1,-1,0,unknown,0
52,workforce,married,primary,0,128,1,0,unknown,5,second,229,1,-1,0,unknown,0
59,workforce,married,primary,0,179,1,0,unknown,5,second,55,3,-1,0,unknown,0
27,workforce,single,tertiary,0,0,1,0,unknown,5,second,400,1,-1,0,unknown,0
44,workforce,married,secondary,0,54,1,0,unknown,5,second,197,1,-1,0,unknown,0
47,workforce,married,tertiary,0,151,1,0,unknown,5,second,190,1,-1,0,unknown,0
34,manager,married,secondary,0,61,0,1,unknown,5,second,21,1,-1,0,unknown,0
59,nonworker,single,secondary,0,30,1,0,unknown,5,second,514,1,-1,0,unknown,0
45,manager,married,tertiary,0,523,1,0,unknown,5,second,849,2,-1,0,unknown,0
29,workforce,divorced,secondary,0,31,1,0,unknown,5,second,194,1,-1,0,unknown,0
46,workforce,divorced,secondary,0,79,0,0,unknown,5,second,144,1,-1,0,unknown,0
56,independent,married,primary,0,-34,1,1,unknown,5,second,212,2,-1,0,unknown,0
36,workforce,married,primary,0,448,1,0,unknown,5,second,286,1,-1,0,unknown,0
59,nonworker,divorced,primary,0,81,1,0,unknown,5,second,107,1,-1,0,unknown,0
44,workforce,married,secondary,0,144,1,0,unknown,5,second,247,2,-1,0,unknown,0
41,manager,married,secondary,0,351,1,0,unknown,5,second,518,1,-1,0,unknown,0
33,manager,single,tertiary,0,-67,1,0,unknown,5,second,364,1,-1,0,unknown,0
59,manager,divorced,tertiary,0,262,0,0,unknown,5,second,178,1,-1,0,unknown,0
57,workforce,married,primary,0,0,0,0,unknown,5,second,98,1,-1,0,unknown,0
56,workforce,divorced,unknown,0,56,1,0,unknown,5,second,439,1,-1,0,unknown,0
51,workforce,married,secondary,0,26,1,0,unknown,5,second,79,1,-1,0,unknown,0
34,manager,married,unknown,0,3,1,0,unknown,5,second,120,3,-1,0,unknown,0
43,workforce,married,secondary,0,41,1,1,unknown,5,second,127,2,-1,0,unknown,0
52,workforce,married,tertiary,0,7,0,1,unknown,5,second,175,1,-1,0,unknown,0
33,workforce,single,secondary,0,105,1,0,unknown,5,second,262,2,-1,0,unknown,0
29,manager,single,secondary,0,818,1,1,unknown,5,second,61,1,-1,0,unknown,0
34,workforce,married,secondary,0,-16,1,1,unknown,5,second,78,1,-1,0,unknown,0
31,workforce,married,secondary,0,0,1,0,unknown,5,second,143,1,-1,0,unknown,0
55,workforce,married,secondary,0,2476,1,0,unknown,5,second,579,1,-1,0,unknown,1
55,manager,married,unknown,0,1185,0,0,unknown,5,second,677,1,-1,0,unknown,0
32,manager,single,secondary,0,217,1,0,unknown,5,second,345,1,-1,0,unknown,0
38,workforce,single,secondary,0,1685,1,0,unknown,5,second,185,1,-1,0,unknown,0
55,manager,single,secondary,0,802,1,1,unknown,5,second,100,2,-1,0,unknown,0
28,nonworker,single,tertiary,0,0,1,0,unknown,5,second,125,2,-1,0,unknown,0
23,workforce,married,secondary,0,94,1,0,unknown,5,second,193,1,-1,0,unknown,0
32,workforce,single,secondary,0,0,1,0,unknown,5,second,136,1,-1,0,unknown,0
43,workforce,single,unknown,0,0,0,0,unknown,5,second,73,1,-1,0,unknown,0
32,workforce,married,secondary,0,517,1,0,unknown,5,second,528,1,-1,0,unknown,0
46,workforce,married,secondary,0,265,1,0,unknown,5,second,541,1,-1,0,unknown,0
53,nonworker,divorced,primary,0,947,1,0,unknown,5,second,163,1,-1,0,unknown,0
34,independent,single,secondary,0,3,1,0,unknown,5,second,301,1,-1,0,unknown,0
57,nonworker,married,tertiary,0,42,0,0,unknown,5,second,46,1,-1,0,unknown,0
37,workforce,married,secondary,0,37,1,0,unknown,5,second,204,1,-1,0,unknown,0
59,workforce,married,secondary,0,57,1,0,unknown,5,second,98,1,-1,0,unknown,0
33,workforce,married,secondary,0,22,1,0,unknown,5,second,71,1,-1,0,unknown,0
56,workforce,divorced,primary,0,8,1,0,unknown,5,second,157,2,-1,0,unknown,0
48,nonworker,married,secondary,0,293,1,0,unknown,5,second,243,1,-1,0,unknown,0
43,workforce,married,primary,0,3,1,0,unknown,5,second,186,2,-1,0,unknown,0
54,workforce,married,primary,0,348,1,0,unknown,5,second,579,2,-1,0,unknown,0
51,workforce,married,unknown,0,-19,1,0,unknown,5,second,163,2,-1,0,unknown,0
26,nonworker,single,secondary,0,0,1,0,unknown,5,second,610,2,-1,0,unknown,0
40,manager,married,tertiary,0,-4,1,0,unknown,5,second,2033,1,-1,0,unknown,0
39,manager,married,secondary,0,18,1,0,unknown,5,second,85,1,-1,0,unknown,0
50,workforce,married,primary,0,139,0,0,unknown,5,second,114,2,-1,0,unknown,0
41,workforce,married,secondary,0,0,1,0,unknown,5,second,114,2,-1,0,unknown,0
51,workforce,married,unknown,0,1883,1,0,unknown,5,second,57,1,-1,0,unknown,0
60,nonworker,divorced,secondary,0,216,1,0,unknown,5,second,238,1,-1,0,unknown,0
52,workforce,married,secondary,0,782,1,0,unknown,5,second,93,3,-1,0,unknown,0
48,workforce,married,secondary,0,904,1,0,unknown,5,second,128,2,-1,0,unknown,0
48,workforce,married,unknown,0,1705,1,0,unknown,5,second,107,1,-1,0,unknown,0
39,workforce,single,tertiary,0,47,1,0,unknown,5,second,181,1,-1,0,unknown,0
47,workforce,single,secondary,0,176,1,0,unknown,5,second,303,2,-1,0,unknown,0
40,workforce,married,secondary,0,1225,1,0,unknown,5,second,558,5,-1,0,unknown,0
45,workforce,married,secondary,0,86,1,0,unknown,5,second,270,1,-1,0,unknown,0
26,manager,single,secondary,0,82,1,0,unknown,5,second,228,1,-1,0,unknown,0
52,manager,married,tertiary,0,271,1,0,unknown,5,second,99,1,-1,0,unknown,0
54,workforce,married,secondary,0,1378,1,0,unknown,5,second,240,1,-1,0,unknown,0
54,manager,married,tertiary,0,184,0,0,unknown,5,second,673,2,-1,0,unknown,1
50,workforce,married,primary,0,0,0,0,unknown,5,second,233,3,-1,0,unknown,0
35,workforce,married,secondary,0,0,1,0,unknown,5,second,1056,1,-1,0,unknown,0
44,workforce,married,secondary,0,1357,1,1,unknown,5,second,250,1,-1,0,unknown,0
53,independent,married,unknown,0,19,1,0,unknown,5,second,252,1,-1,0,unknown,0
35,nonworker,single,primary,0,434,0,0,unknown,5,second,138,1,-1,0,unknown,0
60,manager,divorced,secondary,0,92,1,0,unknown,5,second,130,1,-1,0,unknown,0
53,manager,divorced,secondary,0,1151,1,0,unknown,5,second,412,1,-1,0,unknown,0
48,nonworker,married,secondary,0,41,1,0,unknown,5,second,179,2,-1,0,unknown,0
34,workforce,married,secondary,0,51,1,0,unknown,5,second,19,2,-1,0,unknown,0
54,workforce,married,secondary,0,214,1,0,unknown,5,second,458,2,-1,0,unknown,0
51,manager,married,secondary,0,1161,1,0,unknown,5,second,717,1,-1,0,unknown,0
31,workforce,married,tertiary,0,37,1,0,unknown,5,second,313,1,-1,0,unknown,0
35,workforce,divorced,secondary,0,787,1,0,unknown,5,second,683,2,-1,0,unknown,0
35,workforce,married,secondary,0,59,1,0,unknown,5,second,1077,1,-1,0,unknown,0
38,workforce,married,secondary,0,253,1,0,unknown,5,second,416,1,-1,0,unknown,0
36,manager,married,tertiary,0,211,1,0,unknown,5,second,146,2,-1,0,unknown,0
58,nonworker,married,primary,0,235,1,0,unknown,5,second,167,1,-1,0,unknown,0
40,workforce,divorced,unknown,0,4384,1,0,unknown,5,second,315,1,-1,0,unknown,0
54,manager,married,secondary,0,4080,0,0,unknown,5,second,140,1,-1,0,unknown,0
34,workforce,single,secondary,0,53,1,1,unknown,5,second,346,1,-1,0,unknown,0
31,manager,single,tertiary,0,0,1,0,unknown,5,second,562,1,-1,0,unknown,0
51,nonworker,married,secondary,0,2127,1,0,unknown,5,second,172,1,-1,0,unknown,0
33,manager,married,tertiary,0,377,1,0,unknown,5,second,217,1,-1,0,unknown,0
55,manager,married,tertiary,0,73,1,0,unknown,5,second,142,2,-1,0,unknown,0
42,manager,married,secondary,0,445,1,0,unknown,5,second,67,1,-1,0,unknown,0
34,workforce,married,secondary,0,243,1,0,unknown,5,second,291,1,-1,0,unknown,0
33,workforce,single,secondary,0,307,1,0,unknown,5,second,309,2,-1,0,unknown,0
38,workforce,married,secondary,0,155,1,0,unknown,5,second,248,1,-1,0,unknown,0
50,workforce,divorced,tertiary,0,173,0,1,unknown,5,second,98,1,-1,0,unknown,0
43,manager,married,tertiary,0,400,1,0,unknown,5,second,256,1,-1,0,unknown,0
61,workforce,divorced,primary,0,1428,1,0,unknown,5,second,82,2,-1,0,unknown,0
47,manager,married,secondary,0,219,1,0,unknown,5,second,577,1,-1,0,unknown,0
48,independent,married,tertiary,0,7,1,0,unknown,5,second,286,1,-1,0,unknown,0
44,workforce,married,secondary,0,575,1,0,unknown,5,second,477,1,-1,0,unknown,0
35,nonworker,single,unknown,0,298,1,0,unknown,5,second,611,2,-1,0,unknown,0
35,workforce,married,secondary,0,0,1,0,unknown,5,second,471,1,-1,0,unknown,0
50,workforce,married,secondary,0,5699,1,0,unknown,5,second,381,2,-1,0,unknown,0
41,manager,married,tertiary,0,176,1,1,unknown,5,second,42,1,-1,0,unknown,0
41,manager,married,tertiary,0,517,1,0,unknown,5,second,251,1,-1,0,unknown,0
39,workforce,single,unknown,0,257,1,0,unknown,5,second,408,1,-1,0,unknown,0
42,nonworker,married,secondary,0,56,1,0,unknown,5,second,215,1,-1,0,unknown,0
38,workforce,married,secondary,0,-390,1,0,unknown,5,second,287,1,-1,0,unknown,0
53,nonworker,married,secondary,0,330,1,0,unknown,5,second,216,2,-1,0,unknown,0
59,nonworker,divorced,primary,0,195,0,0,unknown,5,second,366,2,-1,0,unknown,0
36,workforce,married,secondary,0,301,1,0,unknown,5,second,210,1,-1,0,unknown,0
54,workforce,married,primary,0,-41,1,0,unknown,5,second,288,1,-1,0,unknown,0
40,workforce,married,tertiary,0,483,1,0,unknown,5,second,168,1,-1,0,unknown,0
47,nonworker,married,unknown,0,28,0,0,unknown,5,second,338,2,-1,0,unknown,0
53,nonworker,married,unknown,0,13,0,0,unknown,5,second,410,3,-1,0,unknown,0
46,nonworker,married,primary,0,965,0,0,unknown,5,second,177,1,-1,0,unknown,0
39,manager,married,tertiary,0,378,1,1,unknown,5,second,127,2,-1,0,unknown,0
40,nonworker,married,secondary,0,219,1,0,unknown,5,second,357,1,-1,0,unknown,0
28,workforce,married,primary,0,324,1,0,unknown,5,second,175,1,-1,0,unknown,0
35,independent,divorced,secondary,0,-69,1,0,unknown,5,second,300,1,-1,0,unknown,0
55,nonworker,married,secondary,0,0,0,1,unknown,5,second,136,1,-1,0,unknown,0
43,workforce,divorced,unknown,0,205,1,0,unknown,5,second,1419,1,-1,0,unknown,0
48,workforce,married,primary,0,278,1,0,unknown,5,second,125,2,-1,0,unknown,0
58,manager,married,unknown,0,1065,1,0,unknown,5,second,213,3,-1,0,unknown,0
33,manager,single,tertiary,0,34,1,0,unknown,5,second,27,1,-1,0,unknown,0
36,workforce,married,unknown,0,1033,0,0,unknown,5,second,238,2,-1,0,unknown,0
53,workforce,divorced,secondary,0,1467,1,0,unknown,5,second,124,1,-1,0,unknown,0
47,workforce,married,primary,0,-12,1,0,unknown,5,second,18,1,-1,0,unknown,0
31,workforce,married,secondary,0,388,1,0,unknown,5,second,730,2,-1,0,unknown,0
57,independent,married,secondary,0,294,1,0,unknown,5,second,746,2,-1,0,unknown,0
53,workforce,married,unknown,0,1827,0,0,unknown,5,second,121,1,-1,0,unknown,0
55,workforce,married,primary,0,627,1,0,unknown,5,second,247,1,-1,0,unknown,0
45,workforce,married,primary,0,25,1,0,unknown,5,second,40,1,-1,0,unknown,0
53,manager,divorced,secondary,0,315,1,0,unknown,5,second,181,2,-1,0,unknown,0
37,workforce,married,primary,0,0,1,0,unknown,5,second,79,1,-1,0,unknown,0
44,manager,divorced,secondary,0,66,1,0,unknown,5,second,206,1,-1,0,unknown,0
49,workforce,divorced,primary,0,-9,1,1,unknown,5,second,389,1,-1,0,unknown,0
46,workforce,married,secondary,0,349,1,1,unknown,5,second,127,1,-1,0,unknown,0
43,independent,married,unknown,0,100,1,0,unknown,5,second,702,1,-1,0,unknown,0
38,manager,married,secondary,0,0,0,0,unknown,5,second,151,1,-1,0,unknown,0
43,workforce,married,secondary,0,434,1,0,unknown,5,second,117,1,-1,0,unknown,0
49,manager,married,tertiary,0,3237,1,0,unknown,5,second,232,3,-1,0,unknown,0
42,manager,married,unknown,0,275,0,0,unknown,5,second,408,2,-1,0,unknown,0
22,workforce,single,secondary,0,0,1,0,unknown,5,second,179,2,-1,0,unknown,0
40,manager,married,tertiary,0,207,1,0,unknown,5,second,39,1,-1,0,unknown,0
39,workforce,married,secondary,0,483,1,0,unknown,5,second,282,1,-1,0,unknown,0
51,workforce,married,secondary,0,2248,1,0,unknown,5,second,714,2,-1,0,unknown,0
49,manager,married,secondary,0,428,1,0,unknown,5,second,50,1,-1,0,unknown,0
53,workforce,married,secondary,0,0,1,1,unknown,5,second,181,1,-1,0,unknown,0
34,workforce,single,secondary,0,0,1,0,unknown,5,second,142,1,-1,0,unknown,0
33,workforce,divorced,secondary,0,140,1,0,unknown,5,second,227,1,-1,0,unknown,0
50,manager,single,tertiary,0,297,1,0,unknown,5,second,119,1,-1,0,unknown,0
39,workforce,married,primary,0,279,1,0,unknown,5,second,361,1,-1,0,unknown,0
59,independent,divorced,secondary,0,901,1,0,unknown,5,second,73,3,-1,0,unknown,0
30,workforce,single,secondary,0,2573,1,0,unknown,5,second,67,2,-1,0,unknown,0
36,workforce,married,secondary,0,143,1,1,unknown,5,second,350,1,-1,0,unknown,0
40,workforce,married,secondary,0,475,1,0,unknown,5,second,332,2,-1,0,unknown,0
53,workforce,married,secondary,0,70,1,0,unknown,5,second,611,2,-1,0,unknown,0
34,manager,single,tertiary,0,318,1,0,unknown,5,second,113,2,-1,0,unknown,0
37,workforce,married,secondary,0,275,1,0,unknown,5,second,132,1,-1,0,unknown,0
42,manager,divorced,tertiary,0,742,1,0,unknown,5,second,58,3,-1,0,unknown,0
41,independent,married,primary,0,236,1,0,unknown,5,second,151,1,-1,0,unknown,0
30,nonworker,single,tertiary,0,25,1,0,unknown,5,second,89,2,-1,0,unknown,0
37,manager,single,tertiary,0,600,1,0,unknown,5,second,152,1,-1,0,unknown,0
39,manager,divorced,secondary,0,-349,1,0,unknown,5,second,611,2,-1,0,unknown,0
41,workforce,married,primary,0,183,1,1,unknown,5,second,110,2,-1,0,unknown,0
40,workforce,married,primary,0,0,1,0,unknown,5,second,463,1,-1,0,unknown,0
42,manager,single,tertiary,0,0,1,1,unknown,5,second,562,2,-1,0,unknown,1
40,workforce,divorced,primary,0,0,1,0,unknown,5,second,962,1,-1,0,unknown,0
57,workforce,married,secondary,0,1078,1,0,unknown,5,second,10,4,-1,0,unknown,0
56,independent,divorced,secondary,0,155,0,0,unknown,5,second,118,3,-1,0,unknown,0
37,manager,married,secondary,0,190,1,0,unknown,5,second,92,2,-1,0,unknown,0
59,nonworker,married,secondary,0,319,1,0,unknown,5,second,143,3,-1,0,unknown,0
39,workforce,divorced,secondary,0,-185,1,0,unknown,5,second,189,3,-1,0,unknown,0
49,workforce,married,secondary,0,47,0,0,unknown,5,second,234,2,-1,0,unknown,0
38,workforce,single,secondary,0,570,1,0,unknown,5,second,75,2,-1,0,unknown,0
36,independent,married,tertiary,0,19,0,0,unknown,5,second,189,2,-1,0,unknown,0
50,workforce,married,primary,0,61,1,0,unknown,5,second,621,3,-1,0,unknown,0
41,manager,married,secondary,0,-62,1,1,unknown,5,second,55,2,-1,0,unknown,0
54,workforce,married,tertiary,0,258,0,0,unknown,5,second,310,4,-1,0,unknown,0
58,workforce,married,primary,0,76,1,0,unknown,5,second,156,2,-1,0,unknown,0
30,workforce,single,secondary,0,0,1,0,unknown,5,second,5,2,-1,0,unknown,0
33,manager,single,secondary,0,352,1,0,unknown,5,second,225,2,-1,0,unknown,0
47,manager,married,secondary,0,368,1,0,unknown,5,second,125,2,-1,0,unknown,0
50,workforce,single,tertiary,0,339,1,0,unknown,5,second,2,3,-1,0,unknown,0
32,workforce,married,secondary,0,1331,1,0,unknown,5,second,286,2,-1,0,unknown,0
40,independent,married,secondary,0,672,1,0,unknown,5,second,164,2,-1,0,unknown,0
37,manager,married,tertiary,0,58,1,0,unknown,5,second,98,2,-1,0,unknown,0
54,workforce,single,unknown,0,447,1,0,unknown,5,second,742,2,-1,0,unknown,0
24,nonworker,single,secondary,0,423,1,0,unknown,5,second,226,3,-1,0,unknown,0
54,manager,married,tertiary,0,0,0,0,unknown,5,second,120,2,-1,0,unknown,0
34,workforce,married,secondary,0,19,1,0,unknown,5,second,362,4,-1,0,unknown,0
56,workforce,divorced,primary,0,13,1,0,unknown,5,second,357,2,-1,0,unknown,0
31,workforce,single,secondary,0,3,1,0,unknown,5,second,200,2,-1,0,unknown,0
24,nonworker,single,secondary,0,82,1,0,unknown,5,second,204,2,-1,0,unknown,0
42,workforce,divorced,primary,0,28,1,0,unknown,5,second,126,3,-1,0,unknown,0
57,workforce,married,secondary,0,792,1,0,unknown,5,second,65,2,-1,0,unknown,0
42,workforce,married,unknown,0,408,1,0,unknown,5,second,107,2,-1,0,unknown,0
51,manager,married,secondary,0,531,1,0,unknown,5,second,267,2,-1,0,unknown,0
57,nonworker,married,secondary,0,211,1,0,unknown,5,second,248,2,-1,0,unknown,0
36,workforce,single,secondary,0,62,1,0,unknown,5,second,215,2,-1,0,unknown,0
53,workforce,married,unknown,0,257,1,0,unknown,5,second,209,2,-1,0,unknown,0
50,workforce,married,secondary,0,1234,1,0,unknown,5,second,205,2,-1,0,unknown,0
54,manager,married,tertiary,0,313,1,0,unknown,5,second,83,2,-1,0,unknown,0
55,workforce,married,secondary,0,89,1,0,unknown,5,second,106,3,-1,0,unknown,0
44,workforce,married,secondary,0,129,1,1,unknown,5,second,189,2,-1,0,unknown,0
43,manager,married,unknown,0,0,1,0,unknown,5,second,105,2,-1,0,unknown,0
56,manager,married,secondary,0,353,1,0,unknown,5,second,106,2,-1,0,unknown,0
54,workforce,married,unknown,0,851,1,0,unknown,5,second,108,2,-1,0,unknown,0
55,workforce,divorced,primary,0,96,1,1,unknown,5,second,311,2,-1,0,unknown,0
37,workforce,divorced,secondary,0,398,1,1,unknown,5,second,214,2,-1,0,unknown,0
33,manager,single,tertiary,0,193,0,0,unknown,5,second,132,2,-1,0,unknown,0
46,manager,married,secondary,0,-358,1,0,unknown,5,second,358,2,-1,0,unknown,0
36,workforce,married,secondary,0,539,1,1,unknown,5,second,453,2,-1,0,unknown,0
51,workforce,single,secondary,0,0,1,0,unknown,5,second,364,2,-1,0,unknown,0
40,nonworker,single,primary,0,0,0,0,unknown,5,second,136,2,-1,0,unknown,0
42,workforce,married,secondary,0,490,1,0,unknown,5,second,386,2,-1,0,unknown,0
